,address,comment,created_at,id,location,parent_id,parent_info,survey,user_id
90,1071 East County Road 124 79706 United States of America,At the shop,2018-05-17T15:28:55.774Z,5afd9fb8ef6fd515ee05fd76,"[31.9560102090168, -102.049486562537]",,,,5a9d7488e94c28205a293d4e
91, Shetland Lane 77493 Katy United States of America,Test well,2018-05-04T14:48:25.905Z,5aec72bb60bfce21781b9034,"[29.7897434, -95.8289703]",,,,5a7220e9c46e6a1646322960
92, Park Lane Drive 15126 United States of America,Pitt,2018-05-23T16:49:10.029Z,5b059b86db74de0b385da70f,"[40.456085417287, -80.1882488645953]",,,,5a9d7349e94c28207a293d0b
93,19918 Southwest Freeway 77479 Sugar Land United States of America,Insert Well Name,2018-04-22T20:18:55.135Z,5adcee2fdc4b24001c436624,"[29.563504, -95.6849212]",,,,5a7220e9c46e6a1646322960
94,19918 Southwest Freeway 77479 Sugar Land United States of America,Insert Well Name,2018-04-22T20:18:20.368Z,5adcee0cdc4b24001c436623,"[29.5635083, -95.6849235]",,,,5a7220e9c46e6a1646322960
95, Shetland Lane 77493 Katy United States of America,Test,2018-04-19T19:59:34.243Z,5ad8f5258eda95001cc1d3eb,"[29.7902982, -95.8290239]",,,,5a7220e9c46e6a1646322960
96,1077 East County Road 124 79706 United States of America,At the shop,2018-05-17T15:39:13.655Z,5afda221ef6fd515ee05fd91,"[31.9560658526593, -102.049412340885]",,,,5a9d7488e94c28205a293d4e
97, United States of America,"Oasis Kjorstad 11BX, Crane 2TX, 3B, 5B",2018-04-23T16:07:58.037Z,5ade04deac456d001cf58ad6,"[48.0526848302034, -103.518508078523]",,,,5a9d75ffe94c28205a293d75
98,500 19th Avenue Southeast 58701 Minot United States of America,John ND trk stk,2018-04-22T22:33:23.279Z,5add0db3dc4b240a52436619,"[48.2131092991092, -101.286650011092]",,,,5a9d75ffe94c28205a293d75
99,516 19th Avenue Southeast 58701 Minot United States of America,John ND trk stk,2018-04-22T22:27:03.139Z,5add0c37dc4b240a68436613,"[48.2131652427477, -101.286216112921]",,,,5a9d75ffe94c28205a293d75
100,500 19th Avenue Southeast 58701 Minot United States of America,JohnS stk,2018-04-21T17:07:23.672Z,5adb6fcc32416f002b54839b,"[48.213259628399, -101.286583988941]",,,,5a9d75ffe94c28205a293d75
101, Shetland Lane 77493 Katy United States of America,Test,2018-04-10T14:34:33.584Z,5acccb79d74db3001f65457b,"[29.7898033, -95.8289523]",,,,5a7220e9c46e6a1646322960
102, Shetland Lane 77493 Katy United States of America,Tets,2018-04-06T14:26:38.242Z,5ac7839e478122001f4c8bad,"[29.7898033, -95.8289523]",,,,5a7220e9c46e6a1646322960
103,500 19th Avenue Southeast 58701 Minot United States of America,Storage. Battery disconnected,2018-04-25T21:04:58.486Z,5ae0ed7a8e650f001c80cde0,"[48.2125854209502, -101.287054629821]",,,,5a9d75ffe94c28205a293d75
104,507 19th Avenue Southeast 58701 Minot United States of America,John ND trk stk,2018-04-22T22:27:30.902Z,5add0c53dc4b240a52436617,"[48.2133669805369, -101.28630642961]",,,,5a9d75ffe94c28205a293d75
105,500 19th Avenue Southeast 58701 Minot United States of America,JohnS stk,2018-04-21T17:08:02.774Z,5adb6ff332416f001c548398,"[48.2131892682145, -101.286723184022]",,,,5a9d75ffe94c28205a293d75
106, Shetland Lane 77493 Katy United States of America,Test,2018-04-06T14:17:59.679Z,5ac78198478122001f4c8b92,"[29.7898033, -95.8289523]",,,,5a7220e9c46e6a1646322960
107,1899 5th Street Southeast 58701 Minot United States of America,Storage. Batt disconnected,2018-04-25T21:03:47.768Z,5ae0ed348e650f001f80cdf1,"[48.2133094351112, -101.286443378222]",,,,5a9d75ffe94c28205a293d75
108, United States of America,Berquist 14-28,2018-04-24T23:30:00.018Z,5adfbdfaff1f660b2ef555fb,"[47.9630731649924, -103.221304323674]",,,,5a9d75ffe94c28205a293d75
109,500 19th Avenue Southeast 58701 Minot United States of America,John ND trk stk,2018-04-22T22:33:53.056Z,5add0dd1dc4b240a68436616,"[48.2131701975583, -101.286543121996]",,,,5a9d75ffe94c28205a293d75
