,created_at,date_of_purchase,description,id,last_tag_date,name,serial_number,updated_at
13,2018-03-07T20:03:53.134Z,2014-02-03T00:00:00.000Z,EBot,5aa045a971cc2c001c7ba009,,EBot 62133,62133,2018-03-07T20:03:53.134Z
14,2018-03-07T20:06:29.344Z,2014-10-02T00:00:00.000Z,EBot,5aa0464571cc2c00277ba00a,,EBot 62433,62433,2018-03-07T20:06:29.344Z
15,2018-03-07T20:11:42.269Z,2011-02-11T00:00:00.000Z,EBot,5aa0477e71cc2c001c7ba00b,,EBot 60747,60747,2018-03-07T20:11:42.269Z
16,2018-03-07T20:14:27.697Z,2013-10-09T00:00:00.000Z,EBot,5aa0482371cc2c00277ba00e,2018-05-23T12:49:44.962+00:00,EBot 62021,62021,2018-03-07T20:14:27.697Z
17,2018-03-07T20:16:08.619Z,2013-11-14T00:00:00.000Z,EBot,5aa0488871cc2c00277ba011,2018-05-21T20:13:08.110+00:00,EBot 62044,62044,2018-03-07T20:16:08.619Z
18,2018-03-07T20:19:34.641Z,2014-06-27T00:00:00.000Z,EBot,5aa0495671cc2c001c7ba012,,EBot 62330,62330,2018-03-07T20:19:34.641Z
19,2018-03-07T20:26:44.400Z,2012-04-25T00:00:00.000Z,EBot,5aa04b0471cc2c00277ba018,2018-05-21T18:45:06.755+00:00,EBot 61361,61361,2018-03-07T20:26:44.400Z
20,2018-03-07T20:28:39.609Z,2014-06-24T00:00:00.000Z,EBot,5aa04b7771cc2c001c7ba019,,EBot 62306,62306,2018-03-07T20:28:39.609Z
21,2018-03-07T20:30:22.688Z,2012-11-16T00:00:00.000Z,EBot,5aa04bde71cc2c001c7ba01b,,EBot 61608,61608,2018-03-07T20:30:22.688Z
22,2018-03-07T20:34:42.099Z,2014-07-16T00:00:00.000Z,EBot,5aa04ce271cc2c00277ba01c,,EBot 62344,62344,2018-03-07T20:34:42.099Z
23,2018-03-07T20:36:42.536Z,2017-02-17T00:00:00.000Z,EBot,5aa04d5a71cc2c00277ba01e,2018-05-21T19:28:59.435+00:00,EBot 62162,62162,2018-03-07T20:36:42.536Z
24,2018-03-07T20:37:57.076Z,2014-06-27T00:00:00.000Z,EBot,5aa04da571cc2c001c7ba028,,EBot 62334,62334,2018-03-07T20:37:57.076Z
25,2018-03-07T20:39:38.206Z,2013-04-08T00:00:00.000Z,EBot,5aa04e0a71cc2c001c7ba02b,,EBot 61788,61788,2018-03-07T20:39:38.206Z
26,2018-03-07T20:40:42.597Z,2013-04-05T00:00:00.000Z,EBot,5aa04e4a71cc2c00277ba024,,EBot 61785,61785,2018-03-07T20:40:42.597Z
27,2018-03-07T20:42:09.806Z,2012-04-25T00:00:00.000Z,EBot,5aa04ea171cc2c001c7ba02d,,EBot 61360,61360,2018-03-07T20:42:09.806Z
28,2018-03-07T20:43:37.829Z,2011-02-11T00:00:00.000Z,EBot,5aa04ef971cc2c00277ba026,,EBot 60744,60744,2018-03-07T20:43:37.829Z
29,2018-03-07T20:44:50.048Z,2012-11-16T00:00:00.000Z,EBot,5aa04f4271cc2c00277ba028,,EBot 61606,61606,2018-03-07T20:44:50.048Z
30,2018-03-07T21:25:09.454Z,2011-07-21T00:00:00.000Z,EBot,5aa058b571cc2c00277ba034,,EBot 60989,60989,2018-03-07T21:25:09.454Z
31,2018-03-07T21:26:05.572Z,2014-02-03T00:00:00.000Z,EBot,5aa058ed71cc2c001c7ba03f,,EBot 62130,62130,2018-03-07T21:26:05.572Z
32,2018-03-07T21:26:58.850Z,2013-04-05T00:00:00.000Z,EBot,5aa0592271cc2c00277ba035,,EBot 61787,61787,2018-03-07T21:26:58.850Z
33,2018-03-07T21:29:28.722Z,2013-10-04T00:00:00.000Z,EBot,5aa059b871cc2c00277ba037,,EBot 62008,62008,2018-03-07T21:29:28.722Z
34,2018-03-07T21:30:12.204Z,2013-11-27T00:00:00.000Z,EBot,5aa059e471cc2c001c7ba043,,EBot 62062,62062,2018-03-07T21:30:12.204Z
35,2018-03-07T21:31:01.340Z,2014-07-11T00:00:00.000Z,EBot,5aa05a1571cc2c001c7ba045,,EBot 62332,62332,2018-03-07T21:31:01.340Z
36,2018-03-07T21:32:48.896Z,2013-10-09T00:00:00.000Z,EBot,5aa05a8071cc2c001c7ba049,,EBot 62024,62024,2018-03-07T21:32:48.896Z
37,2018-03-07T21:33:53.696Z,2011-03-02T00:00:00.000Z,EBot,5aa05ac171cc2c00277ba03c,,EBot 60745,60745,2018-03-07T21:33:53.696Z
38,2018-03-07T21:34:51.074Z,2010-07-28T00:00:00.000Z,EBot,5aa05afb71cc2c00277ba03e,,EBot 60468,60468,2018-03-07T21:34:51.074Z
39,2018-03-07T21:35:46.476Z,2014-06-24T00:00:00.000Z,EBot,5aa05b3271cc2c00277ba03f,,EBot 62307,62307,2018-03-07T21:35:46.476Z
40,2018-03-07T21:36:48.105Z,2014-08-20T00:00:00.000Z,EBot,5aa05b7071cc2c00277ba041,,EBot 62423,62423,2018-03-07T21:36:48.105Z
41,2018-03-07T21:55:17.626Z,2014-07-11T00:00:00.000Z,EBot,5aa05fc571cc2c001c7ba04f,,EBot 62341,62341,2018-03-07T21:55:17.626Z
42,2018-03-07T21:56:07.396Z,2013-11-14T00:00:00.000Z,EBot,5aa05ff771cc2c00277ba048,,EBot 62038,62038,2018-03-07T21:56:07.396Z
